Date,Open,High,Low,Close,Volume,Adj Close
4/21/2008,617,648.5,617,644.5,1500,156.629
4/17/2008,635.75,648,625,637,5900,154.807
4/16/2008,622.9,632.95,622,630,13600,153.105
4/15/2008,569,603.3,566,603.3,9500,146.617
4/11/2008,578.9,578.9,562.05,575,1000,139.739
4/10/2008,535.25,568.5,535.15,568.5,2100,138.159
4/9/2008,545,555,535,538.5,800,130.869
4/8/2008,556.8,556.8,525,539,800,130.99
4/7/2008,543,549.9,525.05,545,1000,132.448
4/4/2008,545.05,564.9,545,545,7100,132.448
4/3/2008,545,568.85,545,550.05,400,133.676
4/2/2008,585,586.55,555.1,571,1400,138.767
4/1/2008,573.9,583,533,558.65,2500,135.766
3/31/2008,561,561.65,547,559.25,3100,135.911
3/28/2008,534.95,534.95,534.95,534.95,100,130.006
3/27/2008,503.95,509.5,490,509.5,4200,123.821
3/26/2008,480,485.25,480,485.25,1600,117.928
3/25/2008,446,462.15,445,462.15,5000,112.314
3/24/2008,455.25,467,432.5,440.15,11900,106.967
3/19/2008,498.2,505,460,465.05,5200,113.019
3/18/2008,495,523,475.4,488.45,7100,118.705
3/17/2008,569,569,520.85,530,4800,128.803
3/14/2008,564,600,564,573.15,4700,139.29
3/13/2008,582,599.85,565,589,6200,143.141
3/12/2008,650,659.9,590.1,611.1,9400,148.512
3/11/2008,567,617.4,567,617.4,5600,150.043
3/10/2008,561.05,583,550,555.1,14100,134.903
3/7/2008,610,625.05,608.1,608.9,3500,147.978
3/5/2008,631,645,620.1,640,3100,155.536
3/4/2008,660,666,627.75,643,5100,156.265
3/3/2008,653.05,670,647.1,669,4400,162.583
2/29/2008,693,695,663,680,2700,165.257
2/28/2008,690,702,685,694,1500,168.659
2/27/2008,692,708,672.05,687.55,6500,167.092
2/26/2008,687,697,680,682.35,2500,165.828
2/25/2008,686,705,671.1,687.5,2300,167.079
2/22/2008,709,718.95,696,701.3,1300,170.433
2/21/2008,720,738.9,712,716.3,1700,174.078
2/20/2008,745,745,706,710,5400,172.547
2/19/2008,744.8,752.6,720,741.1,9300,180.105
2/18/2008,709,716.8,685.1,716.8,6600,174.2
2/15/2008,670.1,695.5,664,695.5,8400,169.024
2/14/2008,630,663.15,630,663.15,5400,161.162
2/13/2008,610,645.1,607.9,644.3,7600,156.581
2/12/2008,650,660,639.4,639.85,15700,155.499
2/11/2008,716,725,673.05,673.05,3300,163.568
2/8/2008,716.2,740,697.05,708.45,13400,172.171
2/7/2008,775,789.9,730,731.4,10800,177.748
2/6/2008,745.1,797,745.1,770,6700,187.129
2/5/2008,743.9,783.7,740,783.7,10100,190.458
2/4/2008,750,773.95,743.15,750,9500,182.268
2/1/2008,751,751,720.1,732,4700,177.894
1/31/2008,788.2,788.2,730.1,751.5,10400,182.633
1/30/2008,799.4,803.1,741,755,14700,183.484
1/29/2008,730,764.9,730,764.9,11800,185.889
1/28/2008,750,764,716.2,740,11600,179.838
1/25/2008,716.05,764,710,764,7700,185.671
1/24/2008,770.7,807.95,732.2,732.2,14400,177.943
1/23/2008,815,815,767.05,767.05,13500,186.412
1/22/2008,807.4,807.4,807.4,807.4,300,196.218
1/21/2008,860.25,880,849.85,849.85,4500,206.534
1/18/2008,875,915.8,855,894.55,22400,217.398
1/17/2008,902,919.8,853,872.2,26200,211.966
1/16/2008,890,945,887.2,895.8,9800,217.701
1/15/2008,955,973.85,927.6,942,5900,228.929
1/14/2008,995,995,943,946,9900,229.901
1/11/2008,990,1009,945.7,989.35,14600,240.436
1/10/2008,1016.1,1066.9,980,995.45,36100,241.919
1/9/2008,1017.1,1032,1016.1,1016.1,5700,246.937
1/8/2008,1145,1145,1069.55,1069.55,24600,259.927
1/7/2008,1199,1199,1125.8,1125.8,26300,273.597
1/4/2008,1190.2,1190.2,1129,1185,87700,287.984
1/3/2008,1133.55,1133.55,1100,1133.55,18100,275.48
1/2/2008,1079.6,1079.6,1050,1079.6,36200,262.369
1/1/2008,959.7,1028.2,959.7,1028.2,41500,249.878
12/31/2007,870,940.85,862,934.75,68800,227.167
12/28/2007,872.5,872.5,850,855.35,12800,207.871
12/27/2007,860.05,870,850,854,17400,207.543
12/26/2007,869.9,869.9,846,856,23000,208.029
12/24/2007,849,870,836.1,848.15,24700,206.121
12/20/2007,840.05,850,815.1,819.75,12000,199.219
12/19/2007,840,865,824,834.9,33700,202.901
12/18/2007,805,844.4,805,827.6,33000,201.127
12/17/2007,779,847.85,775,819.9,88200,199.256
12/14/2007,756,780,752,771.15,10600,187.408
12/13/2007,779.9,779.9,752,758.2,10000,184.261
12/12/2007,707,776.9,707,770.05,9900,187.141
12/11/2007,797.8,804.7,756.3,761.6,31900,185.087
12/10/2007,720,789.85,711,779.85,38900,189.523
12/7/2007,740,747,707.25,718.05,11900,174.504
12/6/2007,735,754.75,731,736.85,14500,179.073
12/5/2007,710.05,758.9,702.2,739.45,26900,179.704
12/4/2007,740,740,715.2,720.45,6000,175.087
12/3/2007,715,724.95,712.4,718.2,5000,174.54
11/30/2007,700,720,694,710.05,36800,172.56
11/29/2007,711,735,684.1,694,7700,168.659
11/28/2007,725,725.85,695.4,701.6,11500,170.506
11/27/2007,721,740,715,719.9,6600,174.953
11/26/2007,755,778,715,715,4300,173.763
11/23/2007,750,760,726,752.9,6800,182.973
11/22/2007,785,785,711.15,727.95,11400,176.91
11/21/2007,784.1,790,742,744.2,20500,180.859
11/20/2007,774.1,798,774.1,790.7,14300,192.159
11/19/2007,795,795,770,783.4,10900,190.385
11/16/2007,765.1,785,765,775.2,10600,188.393
11/15/2007,766,780,755.1,769.85,11700,187.092
11/14/2007,760.55,784,755,769.2,16200,186.934
11/13/2007,740,780,735.05,750.2,14000,182.317
11/12/2007,725,750,718,737.4,14800,179.206
11/9/2007,785,785,741.1,741.1,4400,180.105
11/8/2007,785,797,730,764.6,19300,185.817
11/7/2007,848,854.9,750,782.2,22700,190.094
11/6/2007,828,889.15,810,816.6,46100,198.454
11/5/2007,755,829,755,808.35,80900,196.449
11/2/2007,710,785,700,753.65,61600,183.155
11/1/2007,789.9,821,702.2,742.75,169900,180.506
10/31/2007,650,746.9,635,746.9,144700,181.515
10/30/2007,645,659,611.1,622.45,49000,151.271
10/29/2007,595,620,578,607.6,111500,147.662
10/26/2007,534.7,560,506,541.5,31000,131.598
10/25/2007,515,517.9,501.1,501.15,6000,121.792
10/24/2007,505,518.85,505,509.9,4000,123.918
10/23/2007,509.9,509.9,491,497.05,4900,120.795
10/22/2007,460,490,460,475.25,11300,115.497
10/19/2007,470,505,470,481,5300,116.895
10/18/2007,525,540,482.05,500.7,8600,121.682
10/17/2007,499,527,490,522.8,13500,127.053
10/16/2007,548.05,549,530.6,538.2,19700,130.796
10/15/2007,540,549,526.55,537.25,23700,130.565
10/12/2007,514,548,514,528.45,40800,128.426
10/11/2007,526,527,510.05,524.85,27500,127.551
10/10/2007,525,542,517.25,522.7,39800,127.029
10/9/2007,502.2,530,492,521.95,41000,126.847
10/8/2007,520.25,549.8,493.55,501.35,85100,121.84
10/5/2007,494.95,494.95,461,481,15900,116.895
10/4/2007,497,497,476,491.5,9300,119.447
10/3/2007,524.4,543,475.5,489.65,86800,118.997
10/1/2007,460,498,455,482.5,36200,117.259
9/28/2007,475,475,454,462,7200,112.277
9/27/2007,465,475,460.05,466,10700,113.249
9/26/2007,480,480,457,460,4900,111.791
9/25/2007,488,490,460.15,466.85,8300,113.456
9/24/2007,448.8,478,448,469,28000,113.978
9/21/2007,460,467,440.05,448.8,139800,109.069
9/20/2007,444,449.9,440,444.25,4100,107.964
9/19/2007,460,466,441.35,444.8,10500,108.097
9/18/2007,441,450,440.1,440.1,9200,106.955
9/17/2007,450,454,441,445,5900,108.146
9/14/2007,450,450,438,438.6,6800,106.591
9/13/2007,457,462.5,425,429.7,20300,104.428
9/12/2007,489,489,400,452,4300,109.847
9/11/2007,455,475,455,464,18200,112.763
9/10/2007,449,480,431,459.75,94100,111.731
9/7/2007,440,449,430,439.95,17000,106.919
9/6/2007,439.75,450,428,441.6,11400,107.32
9/5/2007,440,445,430,439.75,14100,106.87
9/4/2007,420,460,420,440,18600,106.931
9/3/2007,410,423,410,419.2,1600,101.876
8/31/2007,415,420,406.05,410,2500,99.64
8/30/2007,415,417.4,412,414.8,700,100.807
8/29/2007,417,417,408,408,700,99.154
8/28/2007,420,420,406,415,800,100.855
8/27/2007,408,411.95,405,410,1200,99.64
8/24/2007,409.75,409.75,400,404.45,2000,98.291
8/23/2007,410,417.95,393.1,401,4600,97.453
8/22/2007,415,415,400,406.8,6200,98.862
8/21/2007,434,435,401,411.3,103200,99.956
8/20/2007,446.95,446.95,416.55,426,5100,103.528
8/17/2007,420,420,410,410,5700,99.64
8/16/2007,418.05,427.9,411.05,412.3,6800,100.199
8/14/2007,435,435,428,431.5,3100,104.865
8/13/2007,425.5,448,425.5,443.45,8400,107.769
8/10/2007,420,425,414.95,423.9,9100,103.018
8/9/2007,435,436.5,422.05,425,6500,103.285
8/8/2007,450,450,410.35,426,5800,103.528
8/7/2007,423,435,423,429,4800,104.258
8/6/2007,420.1,434,420,422,6600,102.556
8/3/2007,462,462,420,426.5,13600,103.65
8/2/2007,440,453.9,425.55,440,8600,106.931
8/1/2007,455,455,431.55,436.9,15000,106.177
7/31/2007,430,459.85,430,459,45200,111.548
7/30/2007,414,430,404.95,418.05,3500,101.596
7/27/2007,415,415,398,402,3700,97.696
7/26/2007,415,430,414,428.75,1900,104.197
7/25/2007,410,418.95,410,410,3300,99.64
7/24/2007,420,428,417.25,423,2300,102.799
7/23/2007,425,428,418.5,420.05,3100,102.082
7/20/2007,428,434.9,417,422.15,6600,102.593
7/19/2007,424,434.9,420,428.3,8600,104.087
7/18/2007,425.85,425.85,416,417.75,3200,101.523
7/17/2007,424.7,433,420.25,422.15,7800,102.593
7/16/2007,424,424,415,415,5100,100.855
7/13/2007,430,430,420.05,424,7100,103.042
7/12/2007,423.5,430,420,424,10000,103.042
7/11/2007,420,424.9,415.65,421.25,6200,102.374
7/10/2007,431,431,419,420.1,3300,102.095
7/9/2007,434,434,421,424.6,2100,103.188
7/6/2007,432,444.9,429,431.25,3300,104.804
7/5/2007,435,442,426,428.35,6200,104.1
7/4/2007,450,451,436.1,436.1,5700,105.983
7/3/2007,463,463,447,450,7400,109.361
7/2/2007,455,470,448.1,448.1,7000,108.899
6/29/2007,469.8,479.9,452.1,456.9,30100,111.038
6/28/2007,450,462.1,445,461.8,68700,112.229
